bagging Acc,randFrst10 Acc,randFrst50 Acc,randFrst100 Acc,randFrst150 Acc,randFrst200 Acc,randFrst250 Acc,randFrst300 Acc,randFrst350 Acc,randFrst400 Acc,randFrst450 Acc,randFrst500 Acc,randFrst550 Acc,randFrst600 Acc,randFrst650 Acc,randFrst700 Acc,randFrst750 Acc,randFrst800 Acc,randFrst850 Acc,randFrst900 Acc,randFrst950 Acc
0.895179124,0.897390535,0.896948253,0.899159664,0.897390535,0.897832817,0.897390535,0.896505971,0.897390535,0.897832817,0.898717382,0.899601946,0.8982751,0.897832817,0.898717382,0.898717382,0.900044228,0.899159664,0.899159664,0.900044228,0.900044228
0.780748663,0.756684492,0.745989305,0.729946524,0.732620321,0.735294118,0.735294118,0.737967914,0.740641711,0.737967914,0.737967914,0.737967914,0.737967914,0.740641711,0.740641711,0.740641711,0.740641711,0.740641711,0.737967914,0.740641711,0.740641711
0.936842105,0.957894737,0.950877193,0.954385965,0.947368421,0.947368421,0.950877193,0.950877193,0.950877193,0.947368421,0.950877193,0.954385965,0.950877193,0.950877193,0.950877193,0.947368421,0.947368421,0.947368421,0.947368421,0.950877193,0.950877193
0.685185185,0.685185185,0.740740741,0.740740741,0.703703704,0.703703704,0.722222222,0.722222222,0.740740741,0.740740741,0.740740741,0.740740741,0.740740741,0.740740741,0.740740741,0.740740741,0.740740741,0.740740741,0.722222222,0.740740741,0.740740741
0.832082552,0.829268293,0.856472795,0.858348968,0.851782364,0.853658537,0.851782364,0.848030019,0.850844278,0.849906191,0.851782364,0.85272045,0.85272045,0.851782364,0.851782364,0.849906191,0.850844278,0.850844278,0.851782364,0.851782364,0.849906191
0.79047619,0.79047619,0.828571429,0.838095238,0.828571429,0.838095238,0.828571429,0.847619048,0.838095238,0.828571429,0.838095238,0.847619048,0.838095238,0.828571429,0.819047619,0.828571429,0.828571429,0.828571429,0.819047619,0.80952381,0.80952381
0.822222222,0.925252525,0.957575758,0.961616162,0.951515152,0.955555556,0.957575758,0.955555556,0.955555556,0.961616162,0.961616162,0.961616162,0.961616162,0.957575758,0.957575758,0.957575758,0.95959596,0.957575758,0.957575758,0.957575758,0.957575758
0.805882353,0.8,0.823529412,0.817647059,0.829411765,0.829411765,0.829411765,0.823529412,0.823529412,0.817647059,0.817647059,0.817647059,0.817647059,0.823529412,0.823529412,0.823529412,0.823529412,0.823529412,0.823529412,0.823529412,0.823529412
0.633027523,0.697247706,0.76146789,0.788990826,0.779816514,0.779816514,0.798165138,0.798165138,0.80733945,0.798165138,0.779816514,0.788990826,0.798165138,0.798165138,0.798165138,0.798165138,0.788990826,0.788990826,0.788990826,0.798165138,0.798165138
0.50330033,0.508250825,0.495049505,0.49009901,0.5,0.504950495,0.50660066,0.50330033,0.504950495,0.5,0.50330033,0.501650165,0.498349835,0.508250825,0.504950495,0.50660066,0.50660066,0.508250825,0.501650165,0.50330033,0.504950495
0.954978355,0.966233766,0.96969697,0.973160173,0.974891775,0.973160173,0.976623377,0.974891775,0.975757576,0.974891775,0.974025974,0.974891775,0.974891775,0.975757576,0.974891775,0.973160173,0.974891775,0.974025974,0.974025974,0.973160173,0.973160173
0.897727273,0.920454545,0.931818182,0.9375,0.943181818,0.931818182,0.931818182,0.9375,0.926136364,0.926136364,0.931818182,0.931818182,0.9375,0.931818182,0.931818182,0.931818182,0.931818182,0.931818182,0.931818182,0.9375,0.931818182
0.92,0.973333333,0.973333333,0.973333333,0.973333333,0.973333333,0.973333333,0.973333333,0.973333333,0.973333333,0.973333333,0.973333333,0.973333333,0.973333333,0.973333333,0.973333333,0.973333333,0.973333333,0.973333333,0.973333333,0.973333333
0.644444444,0.65,0.711111111,0.722222222,0.733333333,0.722222222,0.711111111,0.733333333,0.716666667,0.722222222,0.727777778,0.727777778,0.705555556,0.722222222,0.727777778,0.727777778,0.733333333,0.733333333,0.738888889,0.738888889,0.733333333
0.93134116,0.959800783,0.976165066,0.978299538,0.980434009,0.979722519,0.980078264,0.980078264,0.980789755,0.980434009,0.980434009,0.980789755,0.981501245,0.981501245,0.9811455,0.9811455,0.9811455,0.981501245,0.981501245,0.98185699,0.98185699
0.970843184,0.97320725,0.970843184,0.970843184,0.970843184,0.970843184,0.970843184,0.970843184,0.970843184,0.970843184,0.970843184,0.970843184,0.970843184,0.970843184,0.970843184,0.970843184,0.970843184,0.970843184,0.970843184,0.970843184,0.970843184
0.968590212,0.972607743,0.975164354,0.974068663,0.975894814,0.975894814,0.975894814,0.975894814,0.974433893,0.975164354,0.974799123,0.975164354,0.975164354,0.975164354,0.975164354,0.975529584,0.975164354,0.975164354,0.974799123,0.974799123,0.974799123
0.897959184,0.918367347,0.867346939,0.87755102,0.87755102,0.87755102,0.867346939,0.87755102,0.867346939,0.867346939,0.867346939,0.87755102,0.867346939,0.867346939,0.87755102,0.87755102,0.87755102,0.87755102,0.87755102,0.87755102,0.87755102
0.692307692,0.648351648,0.626373626,0.637362637,0.648351648,0.637362637,0.659340659,0.648351648,0.637362637,0.648351648,0.648351648,0.637362637,0.637362637,0.637362637,0.637362637,0.637362637,0.637362637,0.637362637,0.637362637,0.648351648,0.637362637
0.711111111,0.711111111,0.622222222,0.666666667,0.644444444,0.644444444,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.644444444,0.644444444,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667
0.942972973,0.941081081,0.954864865,0.954864865,0.957837838,0.957837838,0.959189189,0.958108108,0.956486486,0.957027027,0.956486486,0.957297297,0.957027027,0.956216216,0.957297297,0.957567568,0.957567568,0.957297297,0.957567568,0.957567568,0.957837838
0.904761905,0.914285714,0.904761905,0.923809524,0.914285714,0.904761905,0.904761905,0.914285714,0.914285714,0.914285714,0.914285714,0.904761905,0.904761905,0.904761905,0.904761905,0.904761905,0.904761905,0.914285714,0.914285714,0.914285714,0.914285714
0.933507171,0.935245545,0.948283355,0.95002173,0.949587136,0.949587136,0.95002173,0.949587136,0.948283355,0.949587136,0.95002173,0.950456323,0.949587136,0.948717949,0.949152542,0.949587136,0.948717949,0.949587136,0.949587136,0.949587136,0.949152542
0.879155017,0.892202547,0.905250078,0.905250078,0.908356632,0.9064927,0.907114011,0.9064927,0.9064927,0.907114011,0.907114011,0.907735322,0.906182044,0.9064927,0.907114011,0.9064927,0.906803355,0.9064927,0.906803355,0.905560733,0.907424666
0.705188679,0.714622642,0.752358491,0.742924528,0.738207547,0.747641509,0.738207547,0.735849057,0.738207547,0.742924528,0.740566038,0.735849057,0.733490566,0.740566038,0.738207547,0.740566038,0.742924528,0.740566038,0.740566038,0.738207547,0.738207547
0.74382716,0.741769547,0.762345679,0.767489712,0.766460905,0.768518519,0.768518519,0.767489712,0.764403292,0.762345679,0.761316872,0.762345679,0.760288066,0.760288066,0.760288066,0.759259259,0.764403292,0.763374486,0.760288066,0.760288066,0.762345679
0.903333333,0.94,0.983333333,0.993333333,0.993333333,0.99,0.99,0.986666667,0.99,0.99,0.99,0.99,0.986666667,0.986666667,0.986666667,0.986666667,0.986666667,0.986666667,0.986666667,0.986666667,0.986666667
0.935422859,0.937584437,0.962982978,0.96568495,0.966495542,0.968927317,0.969197514,0.967846528,0.96865712,0.968116725,0.969197514,0.96865712,0.969737909,0.968927317,0.969467711,0.970008106,0.970278303,0.970008106,0.9705485,0.9705485,0.9705485
0.838709677,0.819354839,0.8,0.832258065,0.832258065,0.825806452,0.832258065,0.838709677,0.832258065,0.84516129,0.832258065,0.838709677,0.84516129,0.838709677,0.838709677,0.838709677,0.838709677,0.832258065,0.832258065,0.838709677,0.832258065
0.994869916,0.990472701,0.993037743,0.994869916,0.994869916,0.994137047,0.994503481,0.995969219,0.995969219,0.995602785,0.995969219,0.995602785,0.995602785,0.99523635,0.995602785,0.995602785,0.995602785,0.996335654,0.995602785,0.995602785,0.996335654
0.805277889,0.81367453,0.837664934,0.847660936,0.851659336,0.853658537,0.854458217,0.854058377,0.853258697,0.852059176,0.852858856,0.853258697,0.852858856,0.854058377,0.854858057,0.854458217,0.854058377,0.856057577,0.856057577,0.856457417,0.856057577
0.583843329,0.605875153,0.630762954,0.62994696,0.632394941,0.62872297,0.629538964,0.628314973,0.629538964,0.62872297,0.62872297,0.629538964,0.632394941,0.631986944,0.630354957,0.631986944,0.633210934,0.633618931,0.632802938,0.633210934,0.632802938
0.604026846,0.571812081,0.590604027,0.601342282,0.598657718,0.602684564,0.608053691,0.610738255,0.614765101,0.608053691,0.610738255,0.610738255,0.608053691,0.606711409,0.608053691,0.609395973,0.614765101,0.614765101,0.610738255,0.610738255,0.608053691
,,,,,,,,,,,,,,,,,,,,
bagging Avr Acc,randFrst10 Avr Acc,randFrst50 Avr Acc,randFrst100 Avr Acc,randFrst150 Avr Acc,randFrst200 Avr Acc,randFrst250 Avr Acc,randFrst300 Avr Acc,randFrst350 Avr Acc,randFrst400 Avr Acc,randFrst450 Avr Acc,randFrst500 Avr Acc,randFrst550 Avr Acc,randFrst600 Avr Acc,randFrst650 Avr Acc,randFrst700 Avr Acc,randFrst750 Avr Acc,randFrst800 Avr Acc,randFrst850 Avr Acc,randFrst900 Avr Acc,randFrst950 Avr Acc
0.819671079,0.829063601,0.839622655,0.845439226,0.84390437,0.843358066,0.845356683,0.846555544,0.84581539,0.845642639,0.845621014,0.845511146,0.844370036,0.845434041,0.845549005,0.845820239,0.846288124,0.846320802,0.84514719,0.846562506,0.845716861
